,Date,Site,Taxa,Zp_dens,Zp_bms,tot_dens_numL,tot_bms_ugL,Type,per_dens,per_bms
47,8/9/2021,36-873,Leptodiaptomus siciloides,4.870824027,36.42844135,30.25814926,110.3086372,MESO,16,33
31,8/9/2021,36-873,Diaptomidae sp.,9.66784769,21.11238787,30.25814926,110.3086372,MESO,32,19
52,8/9/2021,36-873,Mesocyclops edax,4.575622571,21.05883804,30.25814926,110.3086372,MESO,15,19
22,8/9/2021,36-873,Daphnia mendotae,1.107005461,9.377807685,30.25814926,110.3086372,MESO,4,9
14,8/9/2021,36-873,Cyclopidae sp.,4.354221479,7.383017647,30.25814926,110.3086372,MESO,14,7
30,8/9/2021,36-873,Diaphanosoma sp.,2.214010921,6.643142672,30.25814926,110.3086372,MESO,7,6
5,8/9/2021,36-873,Bosmina coregoni,2.140210557,5.242402645,30.25814926,110.3086372,MESO,7,5
1,8/9/2021,36-873,Acanthocyclops vernalis,0.36900182,1.234714024,30.25814926,110.3086372,MESO,1,1
21,8/9/2021,36-873,Daphnia lumholtzi,0.442802184,0.666856174,30.25814926,110.3086372,MESO,1,1
45,8/9/2021,36-873,Leptodiaptomus minutus,0.147600728,0.531698886,30.25814926,110.3086372,MESO,0,0
25,8/9/2021,36-873,Daphnia retrocurva,0.221401092,0.360796571,30.25814926,110.3086372,MESO,1,0
67,8/9/2021,36-873,Temoridae sp.,0.147600728,0.268533656,30.25814926,110.3086372,MESO,0,0
2,8/9/2021,36-873,Acroperus harpae,0,0,30.25814926,110.3086372,MESO,0,0
3,8/9/2021,36-873,Alona sp.,0,0,30.25814926,110.3086372,MESO,0,0
4,8/9/2021,36-873,Alonella sp.,0,0,30.25814926,110.3086372,MESO,0,0
6,8/9/2021,36-873,Bosmina longirostris,0,0,30.25814926,110.3086372,MESO,0,0
7,8/9/2021,36-873,Bosminopsis deitersi,0,0,30.25814926,110.3086372,MESO,0,0
8,8/9/2021,36-873,Calanoida Immature,0,0,30.25814926,110.3086372,MESO,0,0
9,8/9/2021,36-873,Calanoida sp.,0,0,30.25814926,110.3086372,MESO,0,0
10,8/9/2021,36-873,Camptocercus sp.,0,0,30.25814926,110.3086372,MESO,0,0
11,8/9/2021,36-873,Ceriodaphnia sp.,0,0,30.25814926,110.3086372,MESO,0,0
12,8/9/2021,36-873,Chydoridae spp.,0,0,30.25814926,110.3086372,MESO,0,0
13,8/9/2021,36-873,Cladocera sp.,0,0,30.25814926,110.3086372,MESO,0,0
15,8/9/2021,36-873,Cyclopoida sp.,0,0,30.25814926,110.3086372,MESO,0,0
16,8/9/2021,36-873,Cyclops scutifer,0,0,30.25814926,110.3086372,MESO,0,0
17,8/9/2021,36-873,Cyclops strenuus,0,0,30.25814926,110.3086372,MESO,0,0
18,8/9/2021,36-873,Daphnia ambigua,0,0,30.25814926,110.3086372,MESO,0,0
19,8/9/2021,36-873,Daphnia laevis,0,0,30.25814926,110.3086372,MESO,0,0
20,8/9/2021,36-873,Daphnia longiremis,0,0,30.25814926,110.3086372,MESO,0,0
23,8/9/2021,36-873,Daphnia parvula,0,0,30.25814926,110.3086372,MESO,0,0
24,8/9/2021,36-873,Daphnia pulex,0,0,30.25814926,110.3086372,MESO,0,0
26,8/9/2021,36-873,Daphnia rosea,0,0,30.25814926,110.3086372,MESO,0,0
27,8/9/2021,36-873,Daphnia schodleri,0,0,30.25814926,110.3086372,MESO,0,0
28,8/9/2021,36-873,Diacyclops nanus,0,0,30.25814926,110.3086372,MESO,0,0
29,8/9/2021,36-873,Diacyclops thomasi,0,0,30.25814926,110.3086372,MESO,0,0
32,8/9/2021,36-873,Ectocyclops phaleratus,0,0,30.25814926,110.3086372,MESO,0,0
33,8/9/2021,36-873,Epischura lacustris,0,0,30.25814926,110.3086372,MESO,0,0
34,8/9/2021,36-873,Eucyclops agilis,0,0,30.25814926,110.3086372,MESO,0,0
35,8/9/2021,36-873,Eucyclops elegans,0,0,30.25814926,110.3086372,MESO,0,0
36,8/9/2021,36-873,Eucyclops prionophorus,0,0,30.25814926,110.3086372,MESO,0,0
37,8/9/2021,36-873,Eucyclops sp.,0,0,30.25814926,110.3086372,MESO,0,0
