Time,Treatment,Phyto_Grp,Avg_ugL,C_conv
EarlyAug,200um_SIEVED,Bluegreen,17.12,83
EarlyAug,200um_SIEVED,Cryptophyta,12.25,29
EarlyAug,200um_SIEVED,Diatoms,3.73,29
EarlyAug,200um_SIEVED,Green Algae,3.26,44
EarlyAug,200um_SIEVED,Yellow Subst.,2.62,
EarlyAug,WHOLE_WATER,Bluegreen,14.56,83
EarlyAug,WHOLE_WATER,Cryptophyta,9.3,29
EarlyAug,WHOLE_WATER,Diatoms,1.35,29
EarlyAug,WHOLE_WATER,Green Algae,0.32,44
EarlyAug,WHOLE_WATER,Yellow Subst.,2.04,
EarlySep,200um_SIEVED,Bluegreen,5.77,83
EarlySep,200um_SIEVED,Cryptophyta,3.67,29
EarlySep,200um_SIEVED,Diatoms,7.32,29
EarlySep,200um_SIEVED,Green Algae,1.34,44
EarlySep,200um_SIEVED,Yellow Subst.,1.19,
EarlySep,WHOLE_WATER,Bluegreen,5.22,83
EarlySep,WHOLE_WATER,Cryptophyta,3.6,29
EarlySep,WHOLE_WATER,Diatoms,8.14,29
EarlySep,WHOLE_WATER,Green Algae,1.02,44
EarlySep,WHOLE_WATER,Yellow Subst.,1.12,
