"","Event","SampleDate","Type","Treatment","Rep","ZP_Dens_num_L","Initial_chl_ugL","Final_chl_ugL"
"1","Late April 2021",2021-04-19,"MICRO",0.25,1,0.25,1.8,1.2
"2","Late April 2021",2021-04-19,"MICRO",0.25,2,0.25,1.65,1.45
"3","Late April 2021",2021-04-19,"MICRO",0.25,3,0.25,1.8,1.3
"4","Late April 2021",2021-04-19,"MICRO",0.25,4,0.25,1.68,1.45
"5","Late April 2021",2021-04-19,"MICRO",0.5,1,0.5,3.35,3.39
"6","Late April 2021",2021-04-19,"MICRO",0.5,2,0.5,3.63,3.34
"7","Late April 2021",2021-04-19,"MICRO",0.5,3,0.5,3.36,3.3
"8","Late April 2021",2021-04-19,"MICRO",0.5,4,0.5,3.21,3.27
"9","Late April 2021",2021-04-19,"MICRO",0.75,1,0.75,4.84,5.18
"10","Late April 2021",2021-04-19,"MICRO",0.75,2,0.75,5.1,4.87
"11","Late April 2021",2021-04-19,"MICRO",0.75,3,0.75,4.83,4.6
"12","Late April 2021",2021-04-19,"MICRO",0.75,4,0.75,4.83,4.65
"13","Late April 2021",2021-04-19,"MICRO",1,1,1,5.92,5.79
"14","Late April 2021",2021-04-19,"MICRO",1,2,1,5.83,5.77
"15","Late April 2021",2021-04-19,"MICRO",1,3,1,6.02,5.78
"16","Late April 2021",2021-04-19,"MICRO",1,4,1,5.72,5.67
"17","Late April 2021",2021-04-19,"MESO",0,1,0,5.87,5.66
"18","Late April 2021",2021-04-19,"MESO",0,2,0,5.86,5.07
"19","Late April 2021",2021-04-19,"MESO",0,3,0,5.64,5.72
"20","Late April 2021",2021-04-19,"MESO",0,4,0,5.88,5.3
"21","Late April 2021",2021-04-19,"MESO",1,1,1,5.72,5.32
"22","Late April 2021",2021-04-19,"MESO",1,2,1,5.84,5.12
"23","Late April 2021",2021-04-19,"MESO",1,3,1,5.64,5.21
"24","Late April 2021",2021-04-19,"MESO",1,4,1,6.22,5.37
"25","Late April 2021",2021-04-19,"MESO",2,1,2,5.47,5.57
"26","Late April 2021",2021-04-19,"MESO",2,2,2,2,5.68
"27","Late April 2021",2021-04-19,"MESO",2,3,2,3.28,5.65
"28","Late April 2021",2021-04-19,"MESO",2,4,2,6.05,5.69
"29","Late April 2021",2021-04-19,"MESO",4,1,4,6.14,5.13
"30","Late April 2021",2021-04-19,"MESO",4,2,4,5.97,5.95
"31","Late April 2021",2021-04-19,"MESO",4,3,4,6.14,5.76
"32","Late April 2021",2021-04-19,"MESO",4,4,4,5.76,5.56
"33","Late May 2021",2021-05-17,"MESO",0,1,0,25.09,36.78
"34","Late May 2021",2021-05-17,"MESO",0,2,0,23.83,34.99
"35","Late May 2021",2021-05-17,"MESO",0,3,0,23.08,35.96
"36","Late May 2021",2021-05-17,"MESO",0,4,0,23.39,37.11
"37","Late May 2021",2021-05-17,"MESO",1,1,1,21.69,36.6
"38","Late May 2021",2021-05-17,"MESO",1,2,1,22.59,36.21
"39","Late May 2021",2021-05-17,"MESO",1,3,1,24.15,38.74
"40","Late May 2021",2021-05-17,"MESO",1,4,1,22.97,42.78
"41","Late May 2021",2021-05-17,"MESO",2,1,2,24.09,35.88
"42","Late May 2021",2021-05-17,"MESO",2,2,2,27.53,40.51
"43","Late May 2021",2021-05-17,"MESO",2,3,2,25.23,35.2
"44","Late May 2021",2021-05-17,"MESO",2,4,2,27.83,38.26
"45","Late May 2021",2021-05-17,"MESO",4,1,4,28.73,37.95
"46","Late May 2021",2021-05-17,"MESO",4,2,4,27.04,40.28
"47","Late May 2021",2021-05-17,"MESO",4,3,4,27.58,39.78
"48","Late May 2021",2021-05-17,"MESO",4,4,4,28.66,42.17
"49","Late May 2021",2021-05-17,"MICRO",0.25,1,0.25,5.62,7.85
"50","Late May 2021",2021-05-17,"MICRO",0.25,2,0.25,5.69,7.95
"51","Late May 2021",2021-05-17,"MICRO",0.25,3,0.25,6.12,8.28
"52","Late May 2021",2021-05-17,"MICRO",0.25,4,0.25,6.4,8.65
"53","Late May 2021",2021-05-17,"MICRO",0.5,1,0.5,11.64,15.65
"54","Late May 2021",2021-05-17,"MICRO",0.5,2,0.5,11.79,15.72
"55","Late May 2021",2021-05-17,"MICRO",0.5,3,0.5,12.62,16.96
"56","Late May 2021",2021-05-17,"MICRO",0.5,4,0.5,11.68,15.98
"57","Late May 2021",2021-05-17,"MICRO",0.75,1,0.75,19.99,23.61
"58","Late May 2021",2021-05-17,"MICRO",0.75,2,0.75,19.68,26.46
"59","Late May 2021",2021-05-17,"MICRO",0.75,3,0.75,19.79,23.93
"60","Late May 2021",2021-05-17,"MICRO",0.75,4,0.75,18.63,24.37
"61","Late May 2021",2021-05-17,"MICRO",1,1,1,26.85,34.95
"62","Late May 2021",2021-05-17,"MICRO",1,2,1,29.15,35.16
"63","Late May 2021",2021-05-17,"MICRO",1,3,1,28.17,33.95
"64","Late May 2021",2021-05-17,"MICRO",1,4,1,28.95,35.2
"65","Late June 2021",2021-06-29,"MICRO",0.25,1,0.25,2.72,3.3
"66","Late June 2021",2021-06-29,"MICRO",0.25,2,0.25,2.78,4.01
