"","Time","Size","Treatment","Trial","FilterType","Final","Initial"
"1","EarlyAug","Nano",0,"R1","Chl",952501.955658599,1476826.25494244
"2","EarlyAug","Nano",0,"R1","Dapi",1320337.72259496,2225801.59481544
"3","EarlyAug","Nano",0,"R1","Hetero",367835.76693636,748975.339872997
"4","EarlyAug","Nano",0,"R2","Chl",838015.578803958,1382663.51198057
"5","EarlyAug","Nano",0,"R2","Dapi",1214599.17819319,1119817.40735113
"6","EarlyAug","Nano",0,"R2","Hetero",376583.599389234,-262846.104629437
"7","EarlyAug","Nano",0,"R3","Chl",1156836.38334203,623637.779556717
"8","EarlyAug","Nano",0,"R3","Dapi",1012530.08677744,953957.598752638
"9","EarlyAug","Nano",0,"R3","Hetero",-144306.296564584,330319.819195921
"10","EarlyAug","Nano",0,"R4","Chl",500431.696801139,454337.135889476
"11","EarlyAug","Nano",0,"R4","Dapi",664846.586859744,741210.606598644
"12","EarlyAug","Nano",0,"R4","Hetero",164414.890058605,286873.470709169
"13","EarlyAug","Nano",1,"R1","Chl",1162930.06638857,1516532.03563763
"14","EarlyAug","Nano",1,"R1","Dapi",1697645.35059762,1818930.53760838
"15","EarlyAug","Nano",1,"R1","Hetero",534715.284209055,302398.501970752
"16","EarlyAug","Nano",1,"R2","Chl",607757.747650374,892132.037748179
"17","EarlyAug","Nano",1,"R2","Dapi",797192.94947371,1239334.51874818
"18","EarlyAug","Nano",1,"R2","Hetero",189435.201823336,347202.481000003
"19","EarlyAug","Nano",1,"R3","Chl",1191831.54911697,1078456.01909054
"20","EarlyAug","Nano",1,"R3","Dapi",1384005.77966771,1825160.72586227
"21","EarlyAug","Nano",1,"R3","Hetero",192174.230550737,746704.706771732
"22","EarlyAug","Nano",1,"R4","Chl",540342.603240974,869270.508043519
"23","EarlyAug","Nano",1,"R4","Dapi",807514.194028348,1538857.61074312
"24","EarlyAug","Nano",1,"R4","Hetero",267171.590787374,669587.102699602
"25","EarlyAug","Nano",2,"R1","Chl",573744.209630718,605057.063415658
"26","EarlyAug","Nano",2,"R1","Dapi",992011.23836712,764169.113503952
"27","EarlyAug","Nano",2,"R1","Hetero",418267.028736403,159112.050088293
"28","EarlyAug","Nano",2,"R2","Chl",463383.139931652,510257.47353768
"29","EarlyAug","Nano",2,"R2","Dapi",827877.383173907,862979.812882868
"30","EarlyAug","Nano",2,"R2","Hetero",364494.243242255,352722.339345189
"31","EarlyAug","Nano",2,"R3","Chl",778557.295123976,971804.191649776
"32","EarlyAug","Nano",2,"R3","Dapi",1580526.1409272,1068241.82193808
"33","EarlyAug","Nano",2,"R3","Hetero",801968.845803224,96437.6302883004
"34","EarlyAug","Nano",2,"R4","Chl",381472.510076033,1153687.97188513
"35","EarlyAug","Nano",2,"R4","Dapi",613594.423772915,1351983.53930798
"36","EarlyAug","Nano",2,"R4","Hetero",232121.913696882,198295.567422857
"37","EarlyAug","Nano",4,"R1","Chl",385413.984665749,692408.550786975
"38","EarlyAug","Nano",4,"R1","Dapi",412765.189362663,901010.454740583
"39","EarlyAug","Nano",4,"R1","Hetero",27351.2046969137,208601.903953608
"40","EarlyAug","Nano",4,"R2","Chl",127241.686409666,614017.148663887
"41","EarlyAug","Nano",4,"R2","Dapi",244050.387219826,862184.970508924
"42","EarlyAug","Nano",4,"R2","Hetero",116808.700810161,248167.821845037
"43","EarlyAug","Nano",4,"R3","Chl",165017.394376946,480314.247673531
"44","EarlyAug","Nano",4,"R3","Dapi",285692.560837774,643877.45911275
"45","EarlyAug","Nano",4,"R3","Hetero",124780.597472831,163563.21143922
