"","Event","SampleDate","Type","Treatment","Rep","ZP_Dens_num_L","Phyto_grp","Final_chl_ugL","Initial_chl_ugL"
"1","Early August 2021",2021-08-09,"MESO",0,"1",0,"Bluegreen",14.06,13.07
"2","Early August 2021",2021-08-09,"MESO",0,"1",0,"Cryptophyta",4.25,6.36
"3","Early August 2021",2021-08-09,"MESO",0,"1",0,"Diatoms",11.34,4.38
"4","Early August 2021",2021-08-09,"MESO",0,"1",0,"Green Algae",3.54,4.61
"5","Early August 2021",2021-08-09,"MESO",0,"1",0,"Yellow Subst.",1.81,2.02
"6","Early August 2021",2021-08-09,"MESO",0,"2",0,"Bluegreen",13.7,13.65
"7","Early August 2021",2021-08-09,"MESO",0,"2",0,"Cryptophyta",5.24,5.86
"8","Early August 2021",2021-08-09,"MESO",0,"2",0,"Diatoms",10.98,4.3
"9","Early August 2021",2021-08-09,"MESO",0,"2",0,"Green Algae",5.96,3.96
"10","Early August 2021",2021-08-09,"MESO",0,"2",0,"Yellow Subst.",1.84,2.11
"11","Early August 2021",2021-08-09,"MESO",0,"3",0,"Bluegreen",13.21,12.85
"12","Early August 2021",2021-08-09,"MESO",0,"3",0,"Cryptophyta",7.15,7.77
"13","Early August 2021",2021-08-09,"MESO",0,"3",0,"Diatoms",9.48,3.53
"14","Early August 2021",2021-08-09,"MESO",0,"3",0,"Green Algae",4.57,4.11
"15","Early August 2021",2021-08-09,"MESO",0,"3",0,"Yellow Subst.",1.96,2.27
"16","Early August 2021",2021-08-09,"MESO",0,"4",0,"Bluegreen",15.15,13.34
"17","Early August 2021",2021-08-09,"MESO",0,"4",0,"Cryptophyta",5.12,4.76
"18","Early August 2021",2021-08-09,"MESO",0,"4",0,"Diatoms",10.53,6.47
"19","Early August 2021",2021-08-09,"MESO",0,"4",0,"Green Algae",5.9,4.7
"20","Early August 2021",2021-08-09,"MESO",0,"4",0,"Yellow Subst.",1.92,2.08
"21","Early August 2021",2021-08-09,"MICRO",0.25,"1",NA,"Bluegreen",5.7,3.6
"22","Early August 2021",2021-08-09,"MICRO",0.25,"1",NA,"Cryptophyta",2.48,3.06
"23","Early August 2021",2021-08-09,"MICRO",0.25,"1",NA,"Diatoms",4.92,1.56
"24","Early August 2021",2021-08-09,"MICRO",0.25,"1",NA,"Green Algae",1.23,0.73
"25","Early August 2021",2021-08-09,"MICRO",0.25,"1",NA,"Yellow Subst.",1.12,1.1
"26","Early August 2021",2021-08-09,"MICRO",0.25,"2",NA,"Bluegreen",5.5,4.76
"27","Early August 2021",2021-08-09,"MICRO",0.25,"2",NA,"Cryptophyta",4.94,4.28
"28","Early August 2021",2021-08-09,"MICRO",0.25,"2",NA,"Diatoms",2.93,1.19
"29","Early August 2021",2021-08-09,"MICRO",0.25,"2",NA,"Green Algae",2.04,0.28
"30","Early August 2021",2021-08-09,"MICRO",0.25,"2",NA,"Yellow Subst.",1.28,1.14
"31","Early August 2021",2021-08-09,"MICRO",0.25,"3",NA,"Bluegreen",7.55,5.77
"32","Early August 2021",2021-08-09,"MICRO",0.25,"3",NA,"Cryptophyta",2.46,1.52
"33","Early August 2021",2021-08-09,"MICRO",0.25,"3",NA,"Diatoms",5.82,2.86
"34","Early August 2021",2021-08-09,"MICRO",0.25,"3",NA,"Green Algae",1.93,0.68
"35","Early August 2021",2021-08-09,"MICRO",0.25,"3",NA,"Yellow Subst.",1.05,0.97
"36","Early August 2021",2021-08-09,"MICRO",0.25,"4",NA,"Bluegreen",6.77,4.53
"37","Early August 2021",2021-08-09,"MICRO",0.25,"4",NA,"Cryptophyta",1.47,1.4
"38","Early August 2021",2021-08-09,"MICRO",0.25,"4",NA,"Diatoms",5.79,3.27
"39","Early August 2021",2021-08-09,"MICRO",0.25,"4",NA,"Green Algae",1.92,0.52
"40","Early August 2021",2021-08-09,"MICRO",0.25,"4",NA,"Yellow Subst.",1,1.02
"41","Early August 2021",2021-08-09,"MICRO",0.5,"1",NA,"Bluegreen",12.05,8.8
"42","Early August 2021",2021-08-09,"MICRO",0.5,"1",NA,"Cryptophyta",7.09,5.02
"43","Early August 2021",2021-08-09,"MICRO",0.5,"1",NA,"Diatoms",6.9,4.13
"44","Early August 2021",2021-08-09,"MICRO",0.5,"1",NA,"Green Algae",3.74,1.78
"45","Early August 2021",2021-08-09,"MICRO",0.5,"1",NA,"Yellow Subst.",1.58,1.46
"46","Early August 2021",2021-08-09,"MICRO",0.5,"2",NA,"Bluegreen",13.11,9.34
"47","Early August 2021",2021-08-09,"MICRO",0.5,"2",NA,"Cryptophyta",4.65,7.36
"48","Early August 2021",2021-08-09,"MICRO",0.5,"2",NA,"Diatoms",9.91,1.95
"49","Early August 2021",2021-08-09,"MICRO",0.5,"2",NA,"Green Algae",3.45,1.65
"50","Early August 2021",2021-08-09,"MICRO",0.5,"2",NA,"Yellow Subst.",1.41,1.52
"51","Early August 2021",2021-08-09,"MICRO",0.5,"3",NA,"Bluegreen",13.69,11.38
