,Sample_ID,SampleDate,Genus_type,Measured_number,Length_um,Width1_um,Width2_um,Diameter_col_um,Diameter_cell_um,Size_cat
1,20210809-36-873,8/9/2021,Actinastrum,N1,12.5,2.5,NA,NA,NA,
2,20210809-36-873,8/9/2021,Actinastrum,N2,12.5,2.5,NA,NA,NA,
3,20210809-36-873,8/9/2021,Actinastrum,N3,12.5,2.5,NA,NA,NA,
4,20210809-36-873,8/9/2021,Actinastrum,N4,12.5,2.5,NA,NA,NA,
5,20210809-36-873,8/9/2021,Actinastrum,N5,12.5,2.5,NA,NA,NA,
6,20210809-36-873,8/9/2021,Actinastrum,N6,12.5,2.5,NA,NA,NA,
7,20210809-36-873,8/9/2021,Actinastrum,N7,NA,NA,NA,NA,NA,
8,20210809-36-873,8/9/2021,Actinastrum,N8,NA,NA,NA,NA,NA,
9,20210809-36-873,8/9/2021,Actinastrum,N9,NA,NA,NA,NA,NA,
10,20210809-36-873,8/9/2021,Actinastrum,N10,NA,NA,NA,NA,NA,
11,20210809-36-873,8/9/2021,Actinastrum,N11,NA,NA,NA,NA,NA,
12,20210809-36-873,8/9/2021,Actinastrum,N12,NA,NA,NA,NA,NA,
13,20210809-36-873,8/9/2021,Actinastrum,N13,NA,NA,NA,NA,NA,
14,20210809-36-873,8/9/2021,Actinastrum,N14,NA,NA,NA,NA,NA,
15,20210809-36-873,8/9/2021,Actinastrum,N15,NA,NA,NA,NA,NA,
16,20210809-36-873,8/9/2021,Actinastrum,N16,NA,NA,NA,NA,NA,
17,20210809-36-873,8/9/2021,Actinastrum,N17,NA,NA,NA,NA,NA,
18,20210809-36-873,8/9/2021,Actinastrum,N18,NA,NA,NA,NA,NA,
19,20210809-36-873,8/9/2021,Actinastrum,N19,NA,NA,NA,NA,NA,
20,20210809-36-873,8/9/2021,Actinastrum,N20,NA,NA,NA,NA,NA,
21,20210809-36-873,8/9/2021,Ankistrodesmus,N1,NA,NA,NA,NA,NA,
22,20210809-36-873,8/9/2021,Ankistrodesmus,N2,NA,NA,NA,NA,NA,
23,20210809-36-873,8/9/2021,Ankistrodesmus,N3,NA,NA,NA,NA,NA,
24,20210809-36-873,8/9/2021,Ankistrodesmus,N4,NA,NA,NA,NA,NA,
25,20210809-36-873,8/9/2021,Ankistrodesmus,N5,NA,NA,NA,NA,NA,
26,20210809-36-873,8/9/2021,Ankistrodesmus,N6,NA,NA,NA,NA,NA,
27,20210809-36-873,8/9/2021,Ankistrodesmus,N7,NA,NA,NA,NA,NA,
28,20210809-36-873,8/9/2021,Ankistrodesmus,N8,NA,NA,NA,NA,NA,
29,20210809-36-873,8/9/2021,Ankistrodesmus,N9,NA,NA,NA,NA,NA,
30,20210809-36-873,8/9/2021,Ankistrodesmus,N10,NA,NA,NA,NA,NA,
31,20210809-36-873,8/9/2021,Ankistrodesmus,N11,NA,NA,NA,NA,NA,
32,20210809-36-873,8/9/2021,Ankistrodesmus,N12,NA,NA,NA,NA,NA,
33,20210809-36-873,8/9/2021,Ankistrodesmus,N13,NA,NA,NA,NA,NA,
