,Sample_ID,Sample_date,Sample_site,Phylum,Genus_type,Density_cellsPerL,Phyto_biomass_mgL,Length_um,Width1_um,Width2_um,Diameter_col_um,Diameter_cell_um,Type,Edible,Size_class,Comments
1,20210809-36-873,8/9/2021,36-873,Chlorophyta,Actinastrum,64.90863438,0.002655163,12.5,2.5,NA,NA,NA,Colonial,TRUE,MICRO,LxW is one cell-- usually 2 cells across (see pic)
2,20210809-36-873,8/9/2021,36-873,Chlorophyta,Ankistrodesmus,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
3,20210809-36-873,8/9/2021,36-873,Chlorophyta,Carteria,108.1810573,0.121340932,NA,NA,NA,NA,12.75,Solitary,TRUE,NANO,
4,20210809-36-873,8/9/2021,36-873,Chlorophyta,Chlamydomonas,497.6328636,0.063307927,NA,NA,NA,NA,5.875,Solitary,TRUE,NANO,
5,20210809-36-873,8/9/2021,36-873,Chlorophyta,Chlorophyte Filament,248.8164318,0.086027269,135,5,NA,NA,NA,Filament,FALSE,MICRO,
6,20210809-36-873,8/9/2021,36-873,Chlorophyta,Coelastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
7,20210809-36-873,8/9/2021,36-873,Chlorophyta,Colonial Chlorophyte,129.8172688,0.00849652,NA,NA,NA,NA,5,Colonial,TRUE,MICRO,"Small green algae aggregated in a colony-- bench sheets indicates there were 12 of 5um, so think the colony would be larger than 20um"
9,20210809-36-873,8/9/2021,36-873,Charophyta,Cosmarium,43.27242292,0.001593098,NA,NA,NA,NA,7.5,Solitary,TRUE,NANO,
10,20210809-36-873,8/9/2021,36-873,Chlorophyta,Crucigenia,237.9983261,0.015576954,NA,NA,NA,NA,5,Colonial,TRUE,NANO,always in 4 like the pic-- one cell is 5um
11,20210809-36-873,8/9/2021,36-873,Chlorophyta,Eudorina,389.4518063,0.086027269,NA,NA,NA,NA,7.5,Colonial,TRUE,MICRO,"always colony-- can't tell from bench sheet how many in a colony, but whole colony likely >20 um"
12,20210809-36-873,8/9/2021,36-873,Chlorophyta,Micractinium,0,0,NA,NA,NA,NA,NA,Solitary,FALSE,,
13,20210809-36-873,8/9/2021,36-873,Chlorophyta,Oocystis,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
14,20210809-36-873,8/9/2021,36-873,Chlorophyta,Pediastrum,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
15,20210809-36-873,8/9/2021,36-873,Chlorophyta,Scenedesmus,475.9966521,0.008177901,5.25,2.5,NA,NA,NA,Colonial,TRUE,NANO,"Mike says he sees them in 2-4 per colony, and the colony is like an acordian, so total colony should be <20um"
16,20210809-36-873,8/9/2021,36-873,Chlorophyta,Schroederia,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
17,20210809-36-873,8/9/2021,36-873,Chlorophyta,Solitary Green,1319.808899,0.167903633,NA,NA,NA,NA,5.875,Solitary,TRUE,NANO,
18,20210809-36-873,8/9/2021,36-873,Chlorophyta,Spiny Green,10.81810573,0.088505421,NA,NA,NA,NA,25,Solitary,FALSE,MICRO,
19,20210809-36-873,8/9/2021,36-873,Cryptophyta,Chroomonas,1027.720044,0.20263316,NA,NA,NA,NA,7,Solitary,TRUE,NANO,
20,20210809-36-873,8/9/2021,36-873,Cryptophyta,Cryptomonas,54.09052865,0.116915661,24,13,NA,NA,NA,Solitary,TRUE,MICRO,
21,20210809-36-873,8/9/2021,36-873,Cryptophyta,Rhodomonas,173.0896917,0.179754509,17.8125,10.46875,NA,NA,NA,Solitary,TRUE,NANO,
22,20210809-36-873,8/9/2021,36-873,Ochrophyta,Dinobryon,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
23,20210809-36-873,8/9/2021,36-873,Ochrophyta,Mallomonas,10.81810573,0.017701084,20,12.5,NA,NA,NA,Solitary,TRUE,NANO,
24,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Asterionella,0,0,NA,NA,NA,NA,NA,Colonial,TRUE,,
25,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Aulacoseira,876.2665642,2.667553375,228.3333333,12.22222222,NA,NA,NA,Filament,FALSE,MICRO,
26,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Centric Diatom,346.1793834,0.112047862,NA,NA,NA,NA,8.875,Solitary,TRUE,NANO,
27,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Cyclotella,54.09052865,0.143378781,NA,NA,NA,NA,18,Solitary,TRUE,NANO,
28,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Fragilaria,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
29,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Navicula,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
30,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Pennate Diatom,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
31,20210809-36-873,8/9/2021,36-873,Bacillariophyta,Synedra,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
32,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Aphanizomenon,0,0,NA,NA,NA,NA,NA,Filament,FALSE,,
33,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Aphanocapsa,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
34,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Chroococcus,0,0,NA,NA,NA,NA,NA,Colonial,FALSE,,
35,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Cyanophyte Coccoid,5982.412469,0.033954551,NA,NA,NA,NA,2.0625,Solitary,FALSE,NANO,
36,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Dolichospermum,367.8155948,0.036110212,170,5,NA,NA,NA,Filament,FALSE,MICRO,
37,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Merismopedia,1752.533128,0.001792235,NA,NA,NA,NA,1.25,Colonial,FALSE,NANO,In bench sheet: 8-32 cells/colony-- colonies are usually rectangular (see pic in guide)
38,20210809-36-873,8/9/2021,36-873,Cyanobacteria,Microcystis,108.1810573,1.803242535,NA,NA,NA,24.03,1.45,Colonial,FALSE,MICRO,
39,20210809-36-873,8/9/2021,36-873,Miozoa,Gymnodinium,0,0,NA,NA,NA,NA,NA,Solitary,TRUE,,
