"","Sample_ID","Sample_date","Sample_site","Phylum","Taxa","Density_cellsPerL","Phyto_biomass_mgL","Length_um","Width1_um","Width2_um","Diameter_col_um","Diameter_cell_um","Type","Edible","Size_class","Comments","Length2","Diameter2","Length_um3","per","BMS_mgL_under200","WW_C_conv","bms_ugC_less200","bms_ugC_less200_tot","bms_per","Date","Size_class2","Taxa2"
"1","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Actinastrum",64.90863438,0.002655163,12.5,2.5,NA,NA,NA,"Colonial","TRUE","MICRO","LxW is one cell-- usually 2 cells across (see pic)",12.5,0,12.5,1,0.002655163,"0.16",0.42482608,95.7812737819996,0.443537722171992,"August","Micro","Other Chlorophyta"
"2","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Ankistrodesmus",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
"3","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Carteria",108.1810573,0.121340932,NA,NA,NA,NA,12.75,"Solitary","TRUE","NANO","",0,12.75,12.75,1,0.121340932,"0.16",19.41454912,95.7812737819996,20.2696710467518,"August","Nano","Carteria"
"4","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Chlamydomonas",497.6328636,0.063307927,NA,NA,NA,NA,5.875,"Solitary","TRUE","NANO","",0,5.875,5.875,1,0.063307927,"0.16",10.12926832,95.7812737819996,10.5754161748302,"August","Nano","Chlamydomonas"
"5","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Chlorophyte Filament",248.8164318,0.086027269,135,5,NA,NA,NA,"Filament","FALSE","MICRO","",135,0,135,0.3950617,0.0339860791374973,"0.16",5.43777266199957,95.7812737819996,5.67728163062027,"August","Micro","Chlorophyte Filament"
"6","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Coelastrum",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
"7","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Colonial Chlorophyte",129.8172688,0.00849652,NA,NA,NA,NA,5,"Colonial","TRUE","MICRO","Small green algae aggregated in a colony-- bench sheets indicates there were 12 of 5um, so think the colony would be larger than 20um",0,5,5,1,0.00849652,"0.16",1.3594432,95.7812737819996,1.41932044367475,"August","Micro","Other Chlorophyta"
"8","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Crucigenia",237.9983261,0.015576954,NA,NA,NA,NA,5,"Colonial","TRUE","NANO","always in 4 like the pic-- one cell is 5um",0,5,5,1,0.015576954,"0.16",2.49231264,95.7812737819996,2.60208759143521,"August","Nano","Other Chlorophyta"
"9","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Eudorina",389.4518063,0.086027269,NA,NA,NA,NA,7.5,"Colonial","TRUE","MICRO","always colony-- can't tell from bench sheet how many in a colony, but whole colony likely >20 um",0,7.5,7.5,1,0.086027269,"0.16",13.76436304,95.7812737819996,14.3706201603959,"August","Micro","Eudorina"
"10","20210809-36-873",2021-08-09,"36-873","Chlorophyta","Micractinium",0,0,NA,NA,NA,NA,NA,"Solitary","FALSE","","",0,0,0,1,0,"0.16",0,95.7812737819996,0,"August","NA","Other Chlorophyta"
