Date_Time,Event,Sample,Type,Rep,Chlorophyta,Cyanobacteria,Bacillariophyta,Cryptophyta,YellowSubst
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.03,0,6.23,0.45,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.11,0,6.21,0.44,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.17,0,6.26,0.48,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.23,0,6.33,0.51,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.27,0,6.49,0.49,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.43,0.01,6.52,0.53,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.24,0.08,6.89,0.43,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.17,0.01,6.73,0.63,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.45,0,6.58,0.69,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.63,0,6.61,0.66,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.75,0,6.65,0.64,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.64,0,6.86,0.61,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.8,0,7,0.56,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,4.75,0,7.1,0.56,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.11,0,7.09,0.47,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.28,0,7.04,0.43,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.47,0,7,0.39,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.72,0,6.81,0.42,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.66,0.03,6.72,0.43,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.6,0.13,6.83,0.3,0
6/29/2021 19:47,Late_June,Initial_Collection,WHOLE,1,5.21,0.24,7.16,0.16,0
6/29/2021 19:48,Late_June,Initial_Collection,WHOLE,1,5.31,0.31,7.23,0.04,0
6/29/2021 19:48,Late_June,Initial_Collection,WHOLE,1,5.08,0.3,7.23,0.13,0
6/29/2021 19:48,Late_June,Initial_Collection,WHOLE,1,5.21,0.27,7.03,0.21,0
6/29/2021 19:48,Late_June,Initial_Collection,WHOLE,1,5.19,0.23,6.83,0.34,0
