Name,Object,Area,EqDiameter,Perimeter,Length,Width,MaxFeret,MinFeret,Circularity,Elongation,MeanIntensity,SumIntensity,Unit,Channel
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,3,6.702163,2.921208,11.565701,4.179128,1.603723,5.03676,1.603212,0.629623,3.141668,3468.37306,5587549,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,22,3.65686,2.15779,8.365981,2.938545,1.244446,2.757091,2.313744,0.656575,1.191615,3157.608646,2775538,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,23,16.241616,4.547468,17.265673,5.862333,2.770504,5.40928,4.117035,0.684655,1.313877,3410.707992,13315404,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,25,7.168111,3.021047,11.202403,3.622339,1.978863,3.945388,2.709626,0.717781,1.456064,3598.519443,6200249,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,27,26.105569,5.765296,23.120166,8.482505,3.077578,7.015665,5.915611,0.613707,1.185958,3388.494343,21262802,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,30,6.373503,2.848683,11.318556,4.107667,1.551612,4.587234,2.30601,0.625181,1.989251,3435.071802,5262530,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,33,7.442687,3.078364,10.426638,3.63749,2.046105,3.63749,2.810781,0.860302,1.294121,3530.389603,6315867,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,53,4.210173,2.315288,8.619272,2.812897,1.496739,3.085029,2.253882,0.712145,1.368763,2906.149209,2941023,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,58,3.132668,1.997157,6.746411,2.261241,1.385376,2.261241,1.855388,0.864926,1.218743,2940.487384,2214187,µm,DAPI-UV
0_R1_Initial_Meso_EarlyAug_10mL_1ug_0.8filter_Dapi_1_.nd2,61,4.813409,2.475606,9.087487,2.861781,1.681963,3.569469,2.116858,0.732445,1.686211,2934.382887,3395081,µm,DAPI-UV
