Name,Object,Area,EqDiameter,Perimeter,Length,Width,MaxFeret,MinFeret,Circularity,Elongation,MeanIntensity,SumIntensity,Unit,Channel
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,1,2.026042,1.606125,7.235609,2.925184,0.69262,2.291388,1.3545,0.486304,1.691686,3101.435318,1510399,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,5,8.798929,3.34711,14.184653,5.489445,1.602881,4.625624,3.067491,0.549544,1.50795,3405.160284,7201914,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,15,1.210633,1.241542,6.084254,2.571302,0.470825,2.200353,1.206021,0.410968,1.824473,3004.587629,874335,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,21,12.563955,3.999616,12.607049,4.20182,2.990122,4.20182,3.910467,0.993366,1.074506,3950.223841,11929676,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,25,2.092606,1.632295,6.982318,2.722535,0.768624,3.096,1.0965,0.539384,2.823529,3489.049702,1754992,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,58,3.244995,2.032648,7.575379,2.478356,1.309334,2.651292,1.806,0.710584,1.468046,3381.439744,2637523,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,63,3.419726,2.086655,7.366601,2.847694,1.200875,2.847694,1.747795,0.791894,1.629307,3511.607056,2886541,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,65,11.673662,3.855304,13.954891,4.194077,2.783369,5.495077,3.341171,0.753293,1.644656,3723.519601,10448196,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,92,3.773347,2.191888,7.11331,2.450355,1.539918,2.450355,2.042792,0.937116,1.199512,3875.767365,3515321,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,98,6.835291,2.950078,11.637343,4.185636,1.633035,4.147505,2.655755,0.634248,1.561704,3143.093122,5164102,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,101,3.640219,2.152875,7.157822,2.715379,1.340593,2.715379,1.797744,0.892844,1.510437,3519.659429,3079702,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,108,2.774887,1.879653,6.170733,2.332952,1.189432,2.332952,1.677,0.91576,1.391146,3553.037481,2369876,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Dapi_1_.nd2,109,1.572575,1.415014,5.607347,2.028392,0.775281,2.517177,0.8385,0.628501,3.002,3637.484127,1374969,µm,DAPI-UV
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,5,0.6698,0.92348,6.486974,3.021833,0.221654,2.618545,0.936366,0.200019,2.796498,1283.869565,206703,µm,CHL
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,23,2.554394,1.803429,5.926134,2.121063,1.204299,2.121063,1.697537,0.914018,1.249495,1848.957655,1135260,µm,CHL
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,26,14.069966,4.232545,13.370522,4.400706,3.197206,4.400706,4.186463,0.989023,1.051175,2964.371969,10025506,µm,CHL
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,31,2.117567,1.642002,7.262738,2.901568,0.729801,3.191821,0.903,0.504483,3.534686,1774.514735,903228,µm,CHL
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,55,1.339601,1.305999,5.451772,2.082675,0.643212,2.082976,1.095784,0.566382,1.9009,1385.208075,446037,µm,CHL
0_R1_Initial_Meso_EarlySep_10mL_1ug_0.8filter_Chl_1_.nd2,70,1.676581,1.461057,7.718662,3.360409,0.498922,2.209744,1.4835,0.353631,1.489548,1263.980149,509384,µm,CHL
