Name,Object,Area,EqDiameter,Perimeter,Length,Width,MaxFeret,MinFeret,Circularity,Elongation,MeanIntensity,SumIntensity,Unit,Channel
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,1,2.32142,1.719222,7.370201,2.878683,0.806417,3.266538,0.903,0.537038,3.617429,3069.806452,1712952,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,3,0.141449,0.424379,1.58375,0.519703,0.272172,0.712609,0.258,0.708655,2.76205,3142.235294,106836,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,4,0.191372,0.493621,1.547929,0.615562,0.310889,0.615562,0.387,1,1.5906,3348.934783,154051,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,7,0.407704,0.72049,2.275581,0.880064,0.463267,0.880064,0.645,0.989397,1.36444,3380.214286,331261,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,8,0.203852,0.509463,1.670229,0.619323,0.329154,0.619323,0.494302,0.918276,1.252923,2748.918367,134697,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,9,1.089986,1.178055,4.169426,1.63901,0.665027,1.63901,0.957283,0.787913,1.712147,3373.103053,883753,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,10,0.228814,0.539754,1.670229,0.61553,0.371735,0.61553,0.4515,1,1.3633,3378.472727,185816,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,11,0.099846,0.35655,1.094551,0.411639,0.242557,0.411639,0.3225,1,1.2764,3221.333333,77312,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,12,0.270416,0.586775,1.858024,0.699638,0.386509,0.699638,0.520625,0.984328,1.343843,3393.615385,220585,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,13,0.3245,0.64278,2.016144,0.758804,0.427646,0.758804,0.5805,1,1.307156,3363.012821,262315,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,14,0.232974,0.544639,1.720887,0.641182,0.363351,0.641182,0.516,0.988582,1.2426,3344,187264,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,15,0.091526,0.341371,1.05873,0.411639,0.222344,0.411639,0.292572,1,1.406966,3209.272727,70604,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,16,0.083205,0.325484,1.008072,0.352867,0.235797,0.352867,0.3225,1,1.09416,3103,62060,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,17,1.048383,1.155354,3.650552,1.280815,0.818528,1.280815,1.0965,0.988582,1.168094,3476.761905,876144,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,18,0.287057,0.60456,1.879007,0.699664,0.410279,0.699664,0.516,1,1.355938,3438.15942,237233,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,19,0.237134,0.54948,1.720887,0.641182,0.369839,0.641182,0.516,1,1.2426,3352.368421,191085,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,20,1.468568,1.367421,4.795762,1.969914,0.745499,1.969914,1.01921,0.802396,1.932786,3438.637394,1213839,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,21,0.715563,0.954507,3.110696,1.232324,0.580661,1.232324,0.774,0.929272,1.59215,3428.267442,589662,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,22,0.603236,0.876393,2.88708,1.083858,0.556564,1.083858,0.7095,0.909452,1.527636,3504.531034,508157,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,23,0.287057,0.60456,2.016144,0.737603,0.389176,0.737603,0.546263,0.887432,1.350269,3333.73913,230028,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,25,0.956858,1.10377,3.477595,1.276429,0.749636,1.276429,1.032,0.994258,1.23685,3462.778261,796439,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,26,0.728044,0.962795,3.182337,1.249294,0.582764,1.249294,0.787661,0.903389,1.586081,3513.817143,614918,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,27,1.397844,1.334088,4.852566,1.484929,0.941354,2.064742,0.869937,0.745977,2.373437,3450.422619,1159342,um,DAPI-UV
InitialCollection_R1_NA_Meso_LateAug_1mL_1ug_0.2filter_Dapi_1_.nd2,28,0.611557,0.882416,2.937738,1.177925,0.519181,1.177925,0.7095,0.890473,1.660218,3350.986395,492595,um,DAPI-UV
